Hotel Name,City,Distance from Centre (in km),Review (in words),Number of Reviews,Rating (out of 10),Level of sustainability,Type of Room,Type of Bed,Type of Cancellation,Cost,Taxes and charges,Type of Payment
Bloom Boutique Waterfront Fort Kochi,Kochi,2.8,Good ,130,7.7,1,Museum Room,1 double bed,Not Free,5570.0,724.0,prepayment
Noah Sky Suites,Kochi,23.6,Superb ,26,9.4,0,One-Bedroom Suite,Private suite • 1 bedroom • 1 living room • 1 bathroom • 42m²1 large double bed,Not Free,3250.0,390.0,prepayment
Hotel Luminara,Kochi,2.1,Very good ,45,8.0,0,Deluxe Double or Twin Room,1 extra-large double bed,Free cancellation,4620.0,554.0,No prepayment needed
The Avenue Regent,Kochi,0.9,Very good ,231,8.2,1,Club Double or Twin Room,Beds: 1 double or 2 singles,Free cancellation,5000.0,600.0,prepayment
Metropolitan Serviced Villa,Kochi,3.4,Good ,226,7.5,1,Economy Double or Twin Room,2 single beds,Free cancellation,899.0,108.0,prepayment
MARINA SUITES AIRPORT HOTEL,Kochi,24.9,Fabulous ,172,8.6,3,Standard Double Room with Fan,1 extra-large double bed,Not Free,1215.0,146.0,prepayment
Super OYO Townhouse OAK Edassery's Sealine Villa Stay,Kochi,20.5,Good ,177,7.4,1,Deluxe Triple Room,1 large double bed,Free cancellation,3866.0,480.0,No prepayment needed
Niyati - Boutique Stay,Kochi,4.2,Very good ,259,8.2,1,Deluxe Double or Twin Room,1 large double bed,Not Free,2692.0,323.0,prepayment
"Keys Select by Lemon Tree Hotels, Kochi",Kochi,4.8,Review score ,115,5.8,2,Keys Room,1 large double bed,Free cancellation,2500.0,595.0,prepayment
Hotel Shams Inn,Kochi,7.1,Very good ,239,8.0,1,Deluxe Double Room,1 extra-large double bed,Free cancellation,1500.0,180.0,No prepayment needed
Hotel Presidency,Kochi,2.2,Review score ,153,6.4,2,Deluxe Double or Twin Room,Beds: 1 double or 2 singles,Not Free,2792.0,335.0,prepayment
Noah's Ark,Kochi,3.8,Good ,78,7.1,0,Deluxe Double Room,1 large double bed,Free cancellation,1152.0,138.0,No prepayment needed
Treebo Trend Pushpak Service Apartment,Kochi,12.7,Fabulous ,90,8.8,0,Standard Double Room,1 extra-large double bed,Free cancellation,2828.0,339.0,No prepayment needed
Treebo Trend Anchor Inn,Kochi,4.7,Good ,111,7.9,0,Double Room,Multiple bed types,Free cancellation,2116.0,254.0,prepayment
S RIVER RESORTS,Kochi,18.4,Fabulous ,25,8.8,0,Deluxe Double Room with Balcony,1 large double bed,Free cancellation,4948.0,594.0,No prepayment needed
Blusalz Home The Ambassador's Residence,Kochi,9.7,Exceptional ,3,10.0,1,Superior Villa,"Entire apartment • 4 bedrooms • 1 living room • 4 bathrooms • 1,000m²5 beds (4 extra-large doubles, 1 sofa bed)",Free cancellation,12600.0,2268.0,No prepayment needed
Treebo Trend Golden Terminal Cochin Airport,Kochi,23.7,Good ,263,7.3,0,Standard Double Room,Beds: 1 double or 2 singles,Free cancellation,3204.0,385.0,No prepayment needed
Govindamangalam Homestay,Kochi,3.4,Superb ,37,9.4,2,Standard Twin Room,2 single beds,Not Free,3800.0,456.0,prepayment
Hyatt Pune,Pune,6.3,Good ,1711,7.8,2,King Room,1 extra-large double bed,Free cancellation,6200.0,744.0,No prepayment needed
"The Ritz-Carlton, Pune",Pune,5.0,Superb ,433,9.4,2,Deluxe Queen Room,2 double beds,Free cancellation,18000.0,3240.0,No prepayment needed
Collection O Hotel Stay Inn,Pune,0.1,No Review,0,0.0,0,Classic Triple Room,1 large double bed,Free cancellation,2030.0,260.0,No prepayment needed
Itsy By Treebo - Prince Regency,Pune,4.1,Good ,111,7.9,2,Standard Double Room,1 large double bed,Free cancellation,1628.0,195.0,No prepayment needed
"Crowne Plaza Pune City Centre, an IHG Hotel",Pune,2.4,Good ,429,7.4,0,Deluxe King Room with 20% discount on Food & Soft Beverage & Spa,1 double bed,Free cancellation,5600.0,672.0,No prepayment needed
Fairfield by Marriott Pune Kharadi,Pune,8.9,Good ,849,7.9,2,Fairfield Deluxe Queen Room City with early check-in & late check-out*,1 double bed,Free cancellation,4400.0,528.0,No prepayment needed
Radisson Blu Pune Hinjawadi,Pune,4.2,Good ,4,7.0,3,Superior Room,Multiple bed types,Not Free,6300.0,756.0,prepayment
Hyatt Place Pune Hinjawadi,Pune,4.7,Very good ,706,8.1,2,Twin Room,"3 beds (2 singles, 1 sofa bed)",Free cancellation,5000.0,600.0,No prepayment needed
Procida Hostel by Zero Jhanjhat,Pune,7.6,Very good ,63,8.2,0,Single Bed in Dormitory Room,Bed in dormitory1 single bed,Free cancellation,999.0,120.0,No prepayment needed
Hyatt Regency Pune Hotel & Residences,Pune,7.3,Very good ,471,8.2,0,King Room,1 extra-large double bed,Free cancellation,8100.0,1458.0,No prepayment needed
Courtyard by Marriott Pune Hinjewadi,Pune,14.0,Fabulous ,268,8.8,2,Deluxe King Room - Non Smoking,1 large double bed,Free cancellation,9000.0,1620.0,No prepayment needed
Sheraton Grand Pune Bund Garden Hotel,Pune,1.9,Very good ,396,8.4,3,"Classic King Room with 15% Discount on Food,Beverages and Spa. ",1 extra-large double bed,Free cancellation,8200.0,1476.0,prepayment
Centro,Pune,1.4,Very good ,520,8.1,2,Superior King Room,1 double bed,Free cancellation,4250.0,510.0,prepayment
Novotel Pune Viman Nagar Road,Pune,7.1,Good ,2553,7.2,2,Deluxe Double Room,1 extra-large double bed,Not Free,6150.0,738.0,prepayment
Itsy By Treebo - Crown Inn,Pune,6.4,Good ,76,7.0,0,Standard Double Room,Beds: 1 double or 2 singles,Free cancellation,1901.0,228.0,No prepayment needed
Itsy By Treebo - Hill View Ex,Pune,1.9,Good ,499,7.2,0,[Sanitized] Standard Double or Twin Room,Multiple bed types,Free cancellation,2252.0,270.0,No prepayment needed
Treebo Trend Serenity Inn,Pune,3.8,Very good ,10,8.0,1,Deluxe Double Room,1 large double bed,Free cancellation,2722.0,327.0,No prepayment needed
Hotel Ashirwad,Pune,2.3,Good ,183,7.7,0,Economy Double Room,2 single beds,Free cancellation,2400.0,288.0,No prepayment needed
Amanora The Fern Hotels & Club,Pune,8.9,Very good ,97,8.1,0,Wintergreen Back view room,1 large double bed,Free cancellation,5696.0,683.0,No prepayment needed
JW Marriott Pune,Pune,3.1,Fabulous ,454,8.9,2,Superior King Room with Mountain View,1 extra-large double bed,Free cancellation,19250.0,3464.0,No prepayment needed
Radisson Blu Hotel Pune Kharadi,Pune,9.3,Good ,1423,7.8,2,Standard Double or Twin Room,Multiple bed types,Free cancellation,5500.0,660.0,No prepayment needed
ROYAL NEST NEO,Pune,8.6,No Review,0,0.0,0,King Room,1 double bed,Free cancellation,1440.0,173.0,No prepayment needed
Blue Diamond Pune IHCL SeleQtions,Pune,3.7,Very good ,638,8.3,3,Superior Queen Bed Room,1 large double bed,Free cancellation,8500.0,1530.0,No prepayment needed
DoubleTree By Hilton-Pune Chinchwad,Pune,4.9,Very good ,223,8.4,3,Hilton Guest Room Queen Bed,1 double bed,Not Free,7870.0,1417.0,prepayment
Itsy By Treebo - Opal Suites,Pune,8.2,Very good ,28,8.0,1,Economy Double Room,1 large double bed,Free cancellation,1663.0,200.0,prepayment
